1:7:50:85:::com.kth.csd.node.executors.KvsOperationExecutorPool:::KvsOperationExecutorPool instatiated!
1:7:50:192:::KvsExecutor:::thread with id 0 instantiated
1:7:50:206:::com.kth.csd.node.executors.KvsOperationExecutorPool:::startWorking!
1:7:50:206:::com.kth.csd.node.executors.KvsOperationExecutorPool:::size of pool =1
1:7:50:207:::com.kth.csd.node.executors.KvsOperationExecutorPool:::thread #0 startWorking!
1:7:50:220:::com.kth.csd.networking.SocketMonitor:::Start listening...
1:7:50:230:::KvsExecutor:::thread # 0run
1:8:12:869:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:874:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:876:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:882:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:902:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:908:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:921:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:926:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:12:970:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:13:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:14:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:17:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:19:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:21:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:21:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:23:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:35:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:36:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:37:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:50:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:162:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:164:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:166:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:190:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:198:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:214:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:215:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:217:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:217:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:218:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:218:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:219:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
1:8:13:219:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
