4:18:4:119:::com.kth.csd.node.executors.KvsOperationExecutorPool:::KvsOperationExecutorPool instatiated!
4:18:4:328:::KvsExecutor:::thread with id 0 instantiated
4:18:4:434:::com.kth.csd.node.executors.KvsOperationExecutorPool:::startWorking!
4:18:4:434:::com.kth.csd.node.executors.KvsOperationExecutorPool:::size of pool =1
4:18:4:451:::com.kth.csd.node.executors.KvsOperationExecutorPool:::thread #0 startWorking!
4:18:4:464:::KvsExecutor:::thread # 0run
4:18:4:596:::com.kth.csd.networking.SocketMonitor:::Start listening...
4:18:5:906:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:934:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:973:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:992:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:998:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:999:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:5:999:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:0:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:0:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:1:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:1:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:2:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:2:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:2:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:8:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:10:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:45:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:70:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:70:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:71:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:81:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:92:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:103:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:209:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:214:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:226:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:228:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:243:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:247:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:254:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:266:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:275:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:275:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:276:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:278:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:286:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:291:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:295:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:309:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:313:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:318:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:327:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:328:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:333:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:352:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:368:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:377:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:424:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:445:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:455:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:460:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:477:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:497:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:518:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:533:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:569:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:574:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:6:656:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
